EVENT	RDCLASS	SPD_KM	MED_INC	pop_dens_200	veh_type	BAD_WEAT	SEVERITY	DARK	Park_10	hosp_50	veh_mvt	Comm_Per	Res_Per	Inter_Acc
2544	5	50	25963	6078.85252948	car	1	1	0	0	0	straight	8.935717505	45.4501000056	1
2812	5	50	35862	9985.91752524	car	0	1	0	0	0	straight	0.7368123082	75.4797244115	1
5798	2	80	27173	8383.87428377	VTB	0	1	0	1	0	straight	0.7233601246	49.6411241115	0
5593	3	60	40180	6278.67117429	car	0	1	0	1	0	leftturn	0.6648470297	53.5554744461	1
3992	4	60	42723	940.447210252	car	0	1	0	0	0	leftturn	16.1962530818	44.1372810635	1
2799	5	50	25145	8119.70254402	car	1	2	0	0	0	straight	8.4799773918	72.9119649171	1
5796	2	80	27173	8383.87428377	car	1	3	1	1	1	straight	1.2511944595	44.0687313515	0
3199	5	50	33427	10077.2802689	car	0	1	0	0	0	straight	0.4154217131	65.3349880464	1
1423	5	50	31639	15162.3249896	car	0	1	0	0	0	straight	8.7869046725	81.3514805748	0
4942	4	60	33808	16226.176833	VTB	0	1	0	0	0	straight	3.1960917776	31.0038195799	0
3785	4	60	45521	1103.66044026	car	1	1	0	0	0	straight	61.0540236851	32.9079864043	1
5048	4	60	35194	14954.6376696	car	0	1	0	0	0	leftturn	2.8621544457	62.7267958755	1
1793	5	50	40339	10206.8000327	car	0	1	0	0	0	other	1.4729524409	72.7376407077	1
4311	4	60	33902	8115.32968836	VTB	0	1	0	1	0	leftturn	4.5796958041	61.9673880584	1
2324	5	50	29445	9467.24708769	car	0	1	0	0	0	leftturn	8.6463634496	68.3642452675	1
760	5	50	44661	3701.75311886	car	0	1	0	0	0	backup	19.2221758096	69.2062707671	0
5609	3	60	33418	10204.5796477	VTB	0	1	0	0	0	rightturn	12.6363284857	66.2308578645	1
1946	5	50	40509	7159.37658745	car	0	1	0	0	0	rightturn	5.6329142225	69.5011429243	1
4232	4	60	23067	12679.948957	car	1	1	0	0	0	rightturn	5.8855655811	78.3892911179	1
4924	4	60	33808	16226.176833	car	1	1	0	0	0	straight	9.3904756883	58.6561684422	1
3744	4	60	262458	2033.23210665	car	0	2	0	0	0	straight	0	72.0917438621	1
4572	4	60	33024	12245.4682461	VTB	0	1	0	0	0	other	11.5857641807	69.8785028729	1
2707	5	50	54781	6111.82695043	car	0	1	0	0	0	backup	0	75.0365712644	0
1367	5	50	25241	9109.42259156	car	1	1	0	1	0	leftturn	0.6980453933	42.003978408	1
5890	2	80	44304	4129.74237511	car	1	1	0	0	0	backup	14.0241948761	53.6672733643	0
3981	4	60	13024	4939.11686641	car	0	1	1	0	0	leftturn	25.1980904571	59.830615599	1
2583	5	50	34227	13963.4251614	car	0	1	0	1	0	leftturn	9.615844105	65.3598081606	1
3005	5	50	33032	7177.19885386	car	0	1	0	0	0	straight	2.0930031005	59.9253318456	1
2182	5	50	32580	16117.2987746	car	0	2	0	0	0	straight	1.5112697013	78.682495362	1
4337	4	60	38057	8954.64756561	car	1	1	0	0	0	straight	0.8189526024	74.162305069	0
3811	4	60	37272	7659.17383915	car	0	1	0	0	0	rightturn	0.8005178785	79.6430845544	1
1212	5	50	21171	7201.25206394	VTB	1	2	1	0	0	leftturn	8.6201614415	51.6367840695	1
1600	5	50	32145	9560.27962105	car	0	1	0	1	0	straight	3.1705067249	55.125093812	0
2676	5	50	38082	9452.39947607	VTB	0	2	0	0	0	straight	1.3164209758	68.4081035089	1
1841	5	50	40542	2759.98516846	car	1	1	0	0	0	rightturn	0	46.7601957888	1
1196	5	50	33193	7082.66265326	car	0	0	0	0	0	straight	8.2130535812	85.6295958912	1
4441	4	60	25141	15491.0034493	car	1	1	1	0	0	leftturn	7.7072888233	75.3525568131	0
5912	2	80	59447	4250.17443388	VTB	0	2	1	1	0	straight	0.3836575362	61.7282880843	0
1188	5	50	27786	5138.03814623	car	0	1	0	0	0	backup	17.911892094	45.7623369151	0
3935	4	60	14682	45325.8697374	VTB	1	1	0	0	0	straight	15.2483213922	68.4372729373	1
2402	5	50	32467	9997.111363	car	0	1	0	0	0	backup	12.3504092612	61.0534333764	0
824	5	50	35263	9777.07384638	car	1	1	0	0	0	leftturn	2.956151375	74.0649495543	1
3689	4	60	26753	9622.61362254	VTB	1	1	0	0	0	rightturn	3.6062671721	66.0505867381	1
5426	4	60	27298	7723.9406207	car	0	1	0	0	0	straight	0.8028624498	50.1302634898	1
4403	4	60	33738	14841.989946	VTB	1	1	0	0	0	straight	5.6795089984	71.8465599114	1
5217	4	60	41776	5020.3623504	car	0	1	0	0	0	other	63.7981747824	8.5622761993	0
4391	4	60	21667	10773.2897597	car	0	1	0	0	0	straight	11.4219444493	35.2990009757	1
1469	5	50	26686	9404.36706218	VTB	1	2	0	0	0	straight	6.2661129919	62.4036512318	1
4892	4	60	32463	13603.1622584	VTB	1	0	0	1	0	leftturn	9.2139608184	58.3164760444	1
5226	4	60	47707	4231.30288677	VTB	0	1	0	0	0	leftturn	0.4642134732	53.5306936033	1
3750	4	60	14682	45325.8697374	VTB	0	0	0	0	0	rightturn	19.8899492515	60.5758938123	0
5737	2	80	28915	1230.19600986	car	0	1	1	1	0	straight	15.6441904263	44.6845123647	0
383	5	50	38723	10465.8410341	car	0	2	0	0	0	leftturn	0.1561559816	89.3963170586	1
1057	5	50	55425	3808.92861065	car	0	1	0	0	0	other	16.4929626034	36.0517201084	0
673	5	50	24707	12635.7101138	car	0	1	0	0	0	backup	11.2069071359	60.171777608	1
5755	2	80	37301	10518.142827	car	0	1	1	0	0	straight	18.1163327972	49.5316267081	1
1397	5	50	31483	6369.41822128	VTB	1	1	0	0	0	leftturn	3.0178746039	59.3569137211	1
5514	4	60	38662	6538.42418143	car	0	1	0	0	0	straight	0	49.4340348775	1
2850	5	50	39931	4613.88417651	car	1	1	0	0	0	straight	0	85.4133204914	1
4631	4	60	31725	8939.32878364	car	0	1	1	0	0	straight	3.3989719081	62.1117666565	1
585	5	50	28846	3346.50676797	car	0	0	0	0	0	other	1.1167141727	41.1399030582	0
3151	5	50	38005	2111.03708719	car	1	2	0	0	0	straight	1.7563822914	36.8066195482	1
3778	4	50	45521	1103.66044026	VTB	0	1	0	0	0	backup	66.6768144779	25.8985434991	0
3989	4	60	42723	940.447210252	car	0	1	0	0	0	leftturn	13.082693881	43.8241742334	1
4163	4	60	28993	11371.6334342	car	0	1	0	0	0	straight	1.6149550589	51.3577512138	1
4538	4	60	36841	8188.92112153	VTB	0	1	0	0	0	other	1.0799977461	40.9447636742	0
2742	5	50	31549	6956.60541293	car	0	1	0	0	0	straight	1.3292041329	48.4128507855	0
5654	3	60	36663	14074.988352	car	0	0	1	0	0	straight	10.4960113175	60.4807047786	0
